sample=0 explainer=linear target=0 sample_size=64
detokenized_full_text: whatever you do, don't stop watching when you think the movie is over! hang around for the first batch of credits or you'll really miss something! we saw this movie at the savanaah film festival and thought it was the best of the bunch. dreya weber is a marvel really
idx	token_id	token_str	shap_value
0	101	[CLS]	0.00011860670929308981
1	3649	whatever	-0.005685110110789537
2	2017	you	0.0009525128989480436
3	2079	do	-0.0026364328805357218
4	1010	,	-0.0020628320053219795
5	2123	don	-0.0009365108562633395
6	1005	'	0.00041676979162730277
7	1056	t	0.0007460017804987729
8	2644	stop	-0.002931874943897128
9	3666	watching	-0.0046799760311841965
10	2043	when	5.92113719903864e-05
11	2017	you	0.0005924595752730966
12	2228	think	0.0016476584132760763
13	1996	the	0.0005061405245214701
14	3185	movie	0.0018637694884091616
15	2003	is	-0.0022254919167608023
16	2058	over	-0.0012123353080824018
17	999	!	-0.00019528290431480855
18	6865	hang	-0.015382221899926662
19	2105	around	0.0018306875135749578
20	2005	for	0.002000178210437298
21	1996	the	0.0010528487619012594
22	2034	first	0.001515875686891377
23	14108	batch	-0.007869690656661987
24	1997	of	-0.005545331630855799
25	6495	credits	0.0001342195610050112
26	2030	or	-0.004597563296556473
27	2017	you	-0.0018094300758093596
28	1005	'	0.0003434362879488617
29	2222	ll	-4.182389966445044e-05
30	2428	really	0.002628908259794116
31	3335	miss	-0.0014334096340462565
32	2242	something	-0.00435300450772047
33	999	!	-0.00020972949278075248
34	2057	we	-0.00021101308811921626
35	2387	saw	0.0031049642711877823
36	2023	this	-0.0026644342578947544
37	3185	movie	-0.0036161148454993963
38	2012	at	-0.0023555567022413015
39	1996	the	0.0010572860483080149
40	28350	sava	0.0390673503279686
41	2532	##na	0.0012340975226834416
42	4430	##ah	0.010211861692368984
43	2143	film	0.002376964082941413
44	2782	festival	9.961631440091878e-05
45	1998	and	-0.0013746008044108748
46	2245	thought	-0.0005902543780393898
47	2009	it	-0.0027869499754160643
48	2001	was	-0.0021051024086773396
49	1996	the	-0.0029786659870296717
50	2190	best	0.004064938053488731
51	1997	of	-0.002787464763969183
52	1996	the	-0.000466959725599736
53	9129	bunch	0.004170323722064495
54	1012	.	0.0011075605871155858
55	2852	dr	0.005928780883550644
56	3240	##ey	0.0009691570303402841
57	2050	##a	-0.0009114217828027904
58	13351	weber	-0.01794399879872799
59	2003	is	0.00043317172094248235
60	1037	a	-0.0015509413788095117
61	8348	marvel	-0.0030277352780103683
62	2428	really	-0.001807944499887526
63	102	[SEP]	-2.785832475638017e-05
