sample=10 explainer=permutation target=0 sample_size=128
detokenized_full_text: think of this film as fan service , a wet dream for the slasher genre admirer . we start off with a gory prologue which is pretty much unrelated to the rest of the film . flash forward nine months and the real meat of the plot begins the virginal <unk> lane is <unk> by every jock and nerd in her school , and gets invited to spend a weekend at a ranch by three guys who think they can get lucky , and two bimbos obsessed with their weight and boob size . so . . you have a bunch of young students in a house in the middle of nowhere on a dark night , who want to do nothing but have sex , do drugs
idx	token_id	token_str	shap_value
0	1092	think	-0.9160016924142838
1	11	of	-0.03888368606567383
2	70	this	-0.23005962371826172
3	63	film	-0.29627370834350586
4	145	as	-0.5822895765304565
5	10	fan	0.08151412010192871
6	5076	service	-0.49497175216674805
7	14	,	-0.10199666023254395
8	9	a	-0.04891633987426758
9	5181	wet	0.843950629234314
10	8355	dream	0.7319090664386749
11	222	for	-0.1209416389465332
12	31	the	0.19543755054473877
13	13546	slasher	2.956746459007263
14	3413	genre	-1.0737217664718628
15	737	admirer	0.4765857607126236
16	18	.	0.021445393562316895
17	780	we	-0.2522923946380615
18	2229	start	-0.10719633102416992
19	272	off	0.5060125589370728
20	126	with	-0.23793983459472656
21	9	a	-0.07903480529785156
22	9077	gory	-0.12098026275634766
23	6449	prologue	0.7768964767456055
24	209	which	0.41757549345493317
25	41	is	-0.17649292945861816
26	513	pretty	1.565624177455902
27	228	much	-0.09577274322509766
28	2592	unrelated	0.32009780406951904
29	7	to	0.10891461372375488
30	31	the	0.0730748176574707
31	361	rest	0.1904456615447998
32	11	of	-0.045052364468574524
33	31	the	0.6051466464996338
34	63	film	-0.32216525077819824
35	18	.	0.09130185842514038
36	7257	flash	0.3471381515264511
37	1815	forward	1.0896589756011963
38	5963	nine	0.10607361793518066
39	4462	months	-1.0020149946212769
40	33	and	-0.5597936138510704
41	31	the	0.14035499095916748
42	474	real	-0.44272124767303467
43	8377	meat	0.4374349117279053
44	11	of	-0.057549476623535156
45	31	the	0.11437904834747314
46	1343	plot	0.6323730945587158
47	1749	begins	-0.3604011535644531
48	31	the	0.15628302097320557
49	17063	virginal	-0.16286873817443848
50	1	<unk>	-0.8425526395440102
51	1967	lane	0.5018109790980816
52	41	is	-0.33438539505004883
53	1	<unk>	-0.4448256641626358
54	167	by	-0.3069489002227783
55	190	every	-1.9972513616085052
56	14142	jock	0.037915706634521484
57	33	and	-0.44774746894836426
58	11158	nerd	0.4488748162984848
59	82	in	-0.2100355625152588
60	708	her	-0.18978595733642578
61	3631	school	-0.540700301527977
62	14	,	-0.061335086822509766
63	33	and	-0.42095324397087097
64	350	gets	0.4367678165435791
65	20111	invited	-0.5964889526367188
66	7	to	0.12112808227539062
67	890	spend	0.5426355600357056
68	9	a	-0.09876236319541931
69	3829	weekend	-0.38992345333099365
70	90	at	-0.5730916261672974
71	9	a	-0.0699012279510498
72	10487	ranch	-0.20277667045593262
73	167	by	-0.22853416204452515
74	1430	three	0.361719012260437
75	198	guys	0.45421212911605835
76	347	who	0.16965226829051971
77	1092	think	-0.64853236079216
78	622	they	1.3988035917282104
79	40	can	-0.5471920967102051
80	114	get	0.05170869827270508
81	7690	lucky	0.5394025631248951
82	14	,	-0.44951725006103516
83	33	and	-0.33012330532073975
84	595	two	-0.6428624987602234
85	12768	bimbos	0.03637504577636719
86	4814	obsessed	1.4502135515213013
87	126	with	0.16738080978393555
88	837	their	-0.677382305264473
89	7781	weight	-0.625342458486557
90	33	and	-0.3325082063674927
91	11529	boob	0.3475083261728287
92	18463	size	-0.46626994013786316
93	18	.	0.059219956398010254
94	26	so	-0.07807290554046631
95	18	.	0.15469145774841309
96	18	.	0.0862802267074585
97	310	you	-0.3046695590019226
98	19	have	0.40333595871925354
99	9	a	0.7193707227706909
100	3206	bunch	0.25102293491363525
101	11	of	-0.15017211437225342
102	2255	young	0.21074461936950684
103	1667	students	-0.5034255981445312
104	82	in	-0.1696261316537857
105	9	a	-0.009830236434936523
106	369	house	0.3265498876571655
107	82	in	-0.11603379249572754
108	31	the	0.23650288581848145
109	448	middle	0.12313127517700195
110	11	of	-0.08629179000854492
111	1532	nowhere	0.406512975692749
112	135	on	-0.174818754196167
113	9	a	-0.5831240117549896
114	1691	dark	0.10966181755065918
115	449	night	0.44179996848106384
116	14	,	-0.4093503952026367
117	347	who	0.038039565086364746
118	602	want	0.051113128662109375
119	7	to	0.1492672860622406
120	76	do	0.2147064208984375
121	207	nothing	1.320674479007721
122	57	but	0.6689372062683105
123	19	have	0.9527175426483154
124	2980	sex	-0.07410925626754761
125	14	,	-0.14430785179138184
126	76	do	0.3057328462600708
127	2574	drugs	0.3257601261138916
