sample=0 explainer=permutation target=0 sample_size=64
detokenized_full_text: whatever you do, don't stop watching when you think the movie is over! hang around for the first batch of credits or you'll really miss something! we saw this movie at the savanaah film festival and thought it was the best of the bunch. dreya weber is a marvel really
idx	token_id	token_str	shap_value
0	101	[CLS]	0.00011860978390489305
1	3649	whatever	-0.005685113902602877
2	2017	you	0.0009525093649114881
3	2079	do	-0.0026364345103502274
4	1010	,	-0.0020628300096307483
5	2123	don	-0.0009365156292915344
6	1005	'	0.00041676871478557587
7	1056	t	0.0007460058799811772
8	2644	stop	-0.0029318793011563165
9	3666	watching	-0.004679977095552853
10	2043	when	5.920843354293278e-05
11	2017	you	0.0005924573966435023
12	2228	think	0.0016476506633417948
13	1996	the	0.0005061325750180653
14	3185	movie	0.0018637675259794509
15	2003	is	-0.002225492681775774
16	2058	over	-0.0012123310672385351
17	999	!	-0.00019527945135320936
18	6865	hang	-0.01538221990423543
19	2105	around	0.0018306920038802283
20	2005	for	0.0020001823348658426
21	1996	the	0.0010528588401419775
22	2034	first	0.0015158836862870625
23	14108	batch	-0.007869689858385496
24	1997	of	-0.005545328238180706
25	6495	credits	0.0001342184841632843
26	2030	or	-0.004597561966095652
27	2017	you	-0.001809434433068548
28	1005	'	0.0003434249332972935
29	2222	ll	-4.182516464165279e-05
30	2428	really	0.00262890915785517
31	3335	miss	-0.001433404694710459
32	2242	something	-0.004352992932711329
33	999	!	-0.00020973810127803257
34	2057	we	-0.000211005232163838
35	2387	saw	0.003104965867740767
36	2023	this	-0.002664439646261079
37	3185	movie	-0.0036161188036203384
38	2012	at	-0.0023555627890995572
39	1996	the	0.0010572815580027445
40	28350	sava	0.0390673503279686
41	2532	##na	0.001234091552240508
42	4430	##ah	0.010211862889783723
43	2143	film	0.002376958727836609
44	2782	festival	9.961452867303575e-05
45	1998	and	-0.0013746023178100586
46	2245	thought	-0.0005902498960494995
47	2009	it	-0.0027869540665830883
48	2001	was	-0.002105103273476873
49	1996	the	-0.002978656440973282
50	2190	best	0.004064942310963359
51	1997	of	-0.002787461504340172
52	1996	the	-0.00046696726764951436
53	9129	bunch	0.004170329709138189
54	1012	.	0.0011075631316219056
55	2852	dr	0.005928777424352509
56	3240	##ey	0.0009691457131079265
57	2050	##a	-0.0009114210094724383
58	13351	weber	-0.01794399693608284
59	2003	is	0.00043317915073462894
60	1037	a	-0.0015509376036269324
61	8348	marvel	-0.003027750179171562
62	2428	really	-0.0018079496387924468
63	102	[SEP]	-2.786836453846523e-05
