sample=0 explainer=permutation target=0 sample_size=64
detokenized_full_text: whatever you do, don't stop watching when you think the movie is over! hang around for the first batch of credits or you'll really miss something! we saw this movie at the savanaah film festival and thought it was the best of the bunch. dreya weber is a marvel really
idx	token_id	token_str	shap_value
0	101	[CLS]	0.00011860339769295283
1	3649	whatever	-0.005685109379036086
2	2017	you	0.0009525125580174583
3	2079	do	-0.0026364403643778394
4	1010	,	-0.0020628326705523898
5	2123	don	-0.0009365033890519824
6	1005	'	0.00041677110961505344
7	1056	t	0.0007459955023867744
8	2644	stop	-0.0029318777046033312
9	3666	watching	-0.0046799640570368084
10	2043	when	5.920683698994773e-05
11	2017	you	0.000592464315039771
12	2228	think	0.001647664766226496
13	1996	the	0.0005061424204281398
14	3185	movie	0.0018637712512697493
15	2003	is	-0.002225488690393312
16	2058	over	-0.001212336921266147
17	999	!	-0.0001952722668647766
18	6865	hang	-0.015382230281829834
19	2105	around	0.0018306890768664224
20	2005	for	0.0020001897854464395
21	1996	the	0.0010528364884001867
22	2034	first	0.001515870913863182
23	14108	batch	-0.007869706356099673
24	1997	of	-0.005545329302549362
25	6495	credits	0.0001342128962278366
26	2030	or	-0.004597557974713189
27	2017	you	-0.0018094341669763838
28	1005	'	0.00034341482179505486
29	2222	ll	-4.1833945683070593e-05
30	2428	really	0.002628924325108528
31	3335	miss	-0.0014334028320653097
32	2242	something	-0.004353001181568418
33	999	!	-0.0002097335777112416
34	2057	we	-0.00021101055400712148
35	2387	saw	0.0031049754470586777
36	2023	this	-0.002664438315800258
37	3185	movie	-0.003616125988108771
38	2012	at	-0.0023555715701409747
39	1996	the	0.0010572964591639383
40	28350	sava	0.03906734873141561
41	2532	##na	0.0012340968740837915
42	4430	##ah	0.010211848520806857
43	2143	film	0.002376966710601534
44	2782	festival	9.96195844241551e-05
45	1998	and	-0.001374599922980581
46	2245	thought	-0.0005902467029435294
47	2009	it	-0.002786956461412566
48	2001	was	-0.0021051056683063507
49	1996	the	-0.002978662827185222
50	2190	best	0.004064926611525672
51	1997	of	-0.002787461770432336
52	1996	the	-0.00046695609177861897
53	9129	bunch	0.004170317202806473
54	1012	.	0.0011075625994375774
55	2852	dr	0.005928770505956241
56	3240	##ey	0.0009691672665732247
57	2050	##a	-0.0009114250008549009
58	13351	weber	-0.017943999597004483
59	2003	is	0.00043316903923239024
60	1037	a	-0.0015509407967329025
61	8348	marvel	-0.0030277283596140997
62	2428	really	-0.0018079366002764022
63	102	[SEP]	-2.7865969708987643e-05
